"","plug_in_slope","plug_in_intercept","lts_slope","lts_intercept","ols_slope","ols_intercept","m","n","bl","vo"
"n50",0.0371646631038663,0.0257369017227664,0.0305201100070878,0.026145847007848,0.0222125406001523,0.0201345882490778,1000,50,0,0
"n100",0.0185238009434825,0.0112049027972058,0.0141494182126364,0.0119137016206037,0.0107615140146112,0.00897085232354758,1000,100,0,0
"n500",0.00310602505313796,0.00246107839208102,0.00263115997480789,0.00261319551256759,0.00213328271069038,0.00210918723719831,1000,500,0,0
"n50",0.0319880791825175,0.0261925002242426,0.553534501445501,0.0687929617652534,0.662976469402792,0.0636607286766159,1000,50,0.15,0
"n100",0.0151705642452433,0.0125411726563461,0.530786598450955,0.0420731861705677,0.638221404128109,0.042897001579914,1000,100,0.15,0
"n500",0.00291810567852076,0.00254601116088134,0.630270358565506,0.031284531924107,0.634337952460277,0.029373712281065,1000,500,0.15,0
"n50",0.0324213723919252,0.0255391369928434,0.0276141993510676,0.02478022178414,0.131681432298567,0.956818338260743,1000,50,0,0.15
"n100",0.015859851711505,0.012382679671933,0.0135144468073135,0.0118419538102829,0.0601175436118543,0.846829746209288,1000,100,0,0.15
"n500",0.00275171522657685,0.00243030005059635,0.00236907997759854,0.00238907426503081,0.0107897456912243,0.830856961242,1000,500,0,0.15
"n50",0.0297615087203135,0.0262272459019177,0.299603043338454,0.0415091534295973,0.421207844691101,0.648578740857113,1000,50,0.1,0.1
"n100",0.014912339940977,0.0128938681396248,0.24812422825657,0.025763258371879,0.402693461927852,0.663856341203312,1000,100,0.1,0.1
"n500",0.00269582381647567,0.00254979068329334,0.138851736383167,0.00814675039728716,0.396149495455003,0.638369307212534,1000,500,0.1,0.1
